Year,Life Expectancy (z-score),Population (z-score),Physicians (z-score),Food Production Index (z-score),GDP per Capita (z-score)
1960,-3.4983996698370032,-1.8707593477323927,,,-0.7625354682560543
1961,-2.7961516955794092,-1.89898816006388,,-1.190371539935249,-0.7796489189935868
1962,-1.6706166948439485,-1.8762040741464778,,-1.1706182002636794,-0.7826594251419847
1963,-1.5965258342270694,-1.8068256948777703,,-1.1542077334596061,-0.7792760735630179
1964,-1.5263948227008248,-1.7397299124518908,,-1.1329349061209926,-0.7718863552718696
1965,-1.4578269094998317,-1.6692416466449274,-0.6817045059980466,-1.0988983823792111,-0.7640546752337009
1966,-1.3889463766337877,-1.584576150905904,-0.960406266422432,-1.067900833971517,-0.759261947079523
1967,-1.3119377324764403,-1.5043711425753425,-1.0110793137723202,-1.0624306783701594,-0.7647942414614453
1968,-1.2296145540132413,-1.4207736508636974,-1.0870888847971525,-1.0651657561708383,-0.7688851666050588
1969,-1.1465619296649254,-1.3306634287105887,-1.1630984558219848,-1.0569605227688015,-0.7608708176804267
1970,-1.0594452496709579,-1.237307311964468,-1.213771503171873,-1.0283941546283777,-0.7502492389641582
1971,-0.9649299042708036,-1.1418570696744683,-1.239108026846817,-1.0071213272897641,-0.7470550751198461
1972,-0.8765627456166355,-1.0542179156631368,-1.213771503171873,-1.0147187656249832,-0.7460230915291877
1973,-0.7810053346663143,-0.9708298365058796,-1.1377619321470407,-0.9591055170111795,-0.7417066981608252
1974,-0.7033714511788673,-0.893724133980259,-1.0617523611222082,-0.9600172096114058,-0.7415206509607766
1975,-0.6292805905619883,-0.8265236452771855,-0.960406266422432,-0.9457340255411939,-0.7356907824555906
1976,-0.6008322010424266,-0.7666735372331268,-0.8590601717226555,-0.9512041811425517,-0.7385057688162333
1977,-0.47234551870682634,-0.71318957084246,-0.7830506006978231,-0.9375287921391572,-0.7330923422806925
1978,-0.4052364972760667,-0.6599568995170587,,-0.8803960558583096,-0.7238413964846845
1979,-0.34250415115600824,-0.6061797555502489,-0.5550218876233258,-0.8524374827847033,-0.7174780717460006
1980,-0.28633681800200333,-0.5549574447469713,,-0.8500063025174331,-0.7103669098182088
1981,-0.23058631106806354,-0.5019760684868354,-0.22564707984905263,-0.8263022949115496,-0.7059623400649071
1982,-0.18150502365519527,-0.4402203061978471,-0.09896446147433194,-0.7700812512309282,-0.6969233964713676
1983,-0.13159008380219234,-0.3787367802295629,-0.048291414124443675,-0.7156835927507594,-0.6850314836748713
1984,-0.08782333069517491,-0.3221325667785166,-0.022954890449499537,-0.6625015244042256,-0.6655320026979279
1985,-0.04780801356875909,-0.2625965775660398,,-0.654296291002189,-0.6463096009344108
1986,-0.010814686537827418,-0.19663162293385486,0.027718156900388733,-0.6144857141256408,-0.6330673946712442
1987,0.028366978148455197,-0.12440523292547202,0.078391204250277,-0.5643426211131948,-0.6139556802459177
1988,0.06421403307420205,-0.05071295503637397,0.3317564409997178,-0.5433736913079901,-0.593826687131822
1989,0.09787275034459944,0.02057107847726336,0.5091121067243267,-0.5084254749659822,-0.5877143050870683
1990,0.1213192252233581,0.08982381021333817,-0.5322190163158764,-0.43275498914719984,-0.5819041957851128
1991,0.16873320775595996,0.15513958592692068,,-0.38565087146884147,-0.5625877395045874
1992,0.21552195095846155,0.2145708688622035,,-0.31727392645186947,-0.5284529575329447
1993,0.26064338928069675,0.2709866110143007,,-0.20574353169085297,-0.4907499750681718
1994,0.29638623765142635,0.32708823433481615,,-0.1294652508052532,-0.4510605489032432
1995,0.35140729870024867,0.38161926349742237,-0.3675316124287398,0.003945766361194305,-0.41408992671564365
1996,0.3993423140079336,0.4347891110565073,-0.3497960458562786,0.07809676451293293,-0.37762780505147003
1997,0.4414417622346846,0.48724695593067346,-0.3117912603438627,0.14191524652877324,-0.3408884577837953
1998,0.4804150138109328,0.5369196138314807,-0.3168585650788515,0.24068194488662162,-0.3073911937667902
1999,0.5169915146217972,0.5821527255792647,-0.2408489940540191,0.32303817644039673,-0.2720120358178864
2000,0.5520049171074108,0.6236582938589442,-0.18004133723415316,0.40569830552758057,-0.22908461377666617
2001,0.5923328538988768,0.6622111451217545,-0.1319019422517596,0.43851923913572727,-0.18406563847770818
2002,0.6297430071498757,0.6980206919220835,-0.4967478831709546,0.5196598805558674,-0.1293227675037474
2003,0.6663195079607401,0.7315267006241457,-0.37766622189871746,0.5488340437631085,-0.06349636262748112
2004,0.7019581497764541,0.7636715277226866,-0.30165665087388505,0.658237155790264,0.00888245245254926
2005,0.7392640964724344,0.7956907072885948,-0.2408489940540191,0.7460635429453965,0.09920171695694001
2006,0.7725059875227644,0.8262649402292266,-0.15470481355920904,0.7937754556905726,0.2107895388499185
2007,0.8126255112041975,0.8550172839466836,-0.10403176620932077,0.8503003969046027,0.3514721152456838
2008,0.8172105996249323,0.8833717438108039,0.02011719979790521,0.9922205450064957,0.45883224689061886
2009,0.8676465722530182,0.9110351422454439,0.21267477972748064,1.0660676456248253,0.5727599092370323
2010,0.904223073063884,0.9380284205060427,0.3140208744272572,1.147816082111783,0.713628441519541
2011,0.9272527217225754,0.9687283009793073,0.3798958359821119,1.2438477026689525,0.8502063737881015
2012,0.9596609603327723,1.0070717396877298,0.5724534159116867,1.3286351144899975,0.9697444516687245
2013,0.9859210121969821,1.0449754120319377,0.8156840431911505,1.3897185187051593,1.0966558848968728
2014,1.0132231296113596,1.0810781364084097,0.9525012710358488,1.4465473574525982,1.2272112648931799
2015,1.04042104047072,1.1145841451104719,1.1678617222728738,1.5592933423472497,1.3578323239624088
2016,1.0653264071197135,1.1477969762363909,1.398424087714865,1.5507842114118042,1.4925394819992541
2017,1.0675147447750644,1.1830829916507501,1.6897941099767217,1.5908986858217613,1.6374270425929898
2018,1.1169086518529843,1.2104950950201248,1.988765089341063,1.6228079268296816,1.791668933275838
2019,1.1409803660618432,1.2313735266925974,2.328274506585314,1.648031422102609,1.9407498415930402
2020,1.149212683908164,1.2454251090920248,2.655115661992093,1.6857147162452955,1.9987868560072937
2021,1.159424926299801,1.2507023054625994,2.9870241221338603,1.8194296309451519,2.238226197790425
2022,1.1682824834762207,1.2499274790113644,,1.875954572159182,2.3347118040595904
2023,1.142335051277061,1.243791691167799,,,2.5093773310632925
2024,,1.2365250755305395,,,2.6797560161743563
